date,Categories,Subcategories,KPI,KPI_value,KPI_weight,Score,Category_Maturity_Level,Subcategorie_Value,Categorie_Value
01/07/24,Access Control (AC),Identification & Authentication,Access Enforcement,2.484858624,3.886982878,9.658602926,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Account Management ,2.099335632,1.043888225,2.191471746,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Network Security,Data Flow Enforcement Access Control Lists (ACLs),2.565019406,6.475195854,16.60900302,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Human Resources Security,Separation of Duties,1.725718104,1.725622192,2.977937458,2,26.55410998,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Least Privilege ,3.503907455,10.09932518,35.38710079,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Non-Privileged Access for Non-Security Functions ,2.483449354,2.284648762,5.673809491,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Prohibit Non-Privileged Users from Executing Privileged Functions ,3.26420614,0.609494218,1.989514769,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Account Lockout ,2.817202295,5.50445554,15.50716478,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Secure Engineering & Architecture ,System Use Notification (Logon Banner),1.336119263,6.713899383,8.970570296,2,39.31436289,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Session Lock ,1.842633859,2.108085803,3.884430279,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Identification & Authentication,Session Termination ,4,2.619274767,10.47709907,2,12.01781257,24.4071882
01/07/24,Access Control (AC),Network Security,Automated Monitoring & Control ,1.748316251,5.435859837,9.503602092,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Network Security,Protection of Confidentiality / Integrity Using Encryption,2.413646608,3.448468717,8.323384822,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Network Security,Managed Access Control Points,1.854862455,0.161616884,0.299777091,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Network Security,Remote Privileged Commands & Sensitive Data Access,2.242448517,0.144117808,0.323176764,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Network Security,Wireless Networking ,2.851458419,7.746637546,22.08921485,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Network Security,Authentication & Encryption,4,4.909626647,19.63850659,2,11.11526857,24.4071882
01/07/24,Access Control (AC),Mobile Device Management,Access Control For Mobile Devices,2.439842739,40.43513933,98.6553811,2,118.0833436,24.4071882
01/07/24,Access Control (AC),Mobile Device Management,Full Device & Container-Based Encryption ,2.308597798,59.56486067,137.5113062,2,118.0833436,24.4071882
01/07/24,Access Control (AC),Data Classification & Handling ,Use of External Information Systems ,2.656809999,1.679058198,4.460938609,2,20.32453322,24.4071882
