,KPI Source/Customer,Measure,score_mean,score_median,score_mode,score_quartile_1,score_quartile_2,score_quartile_3,score_min,score_max,measure_value_mean,measure_value_median,measure_value_mode,measure_value_quartile_1,measure_value_quartile_2,measure_value_quartile_3,measure_value_min,measure_value_max,KPI Source
0,Converge TP,AMP Compromised Computers  Monthly,12.931034482758621,25.0,25.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Machine Exposure
1,Converge TP,Access Point Availability  Auvik,10.0,10.0,0.0,0.0,10.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Access Point Availability
2,Converge TP,Active Alerts Defender 365,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.108945480686181,8.118760413333623,8.281417154364105,7.977575375882641,8.118760413333623,8.241014925349138,7.911291859947894,8.284023668639053,Azure Security Events
3,Converge TP,Active Detections Crowdstrike,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Active Detections Crowdstrike
4,Converge TP,Active Incidents Defender 365,53.87931034482759,50.0,50.0,50.0,50.0,50.0,50.0,75.0,30.481475842454955,30.432385187901904,29.9559748427673,30.14171012290224,30.432385187901904,30.81854714586346,29.84168700331644,31.29151291512915,Azure Security Events
5,Converge TP,Active incidents Sentinel,80.45977011494253,100.0,100.0,100.0,100.0,100.0,0.0,100.0,1.1225967849035625,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,Active Incidents Sentinel
6,Converge TP,Anonymous IP used by user (Count) Defender 365,94.13793103448276,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.5517241379310345,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Unsecure Logins
7,Converge TP,Application Alerts Odoo (Percentage),93.10344827586206,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Applications Service Management
8,Converge TP,Application Incidents P1 Odoo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Applications Service Management
9,Converge TP,Application Incidents P2 Odoo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Applications Service Management
10,Converge TP,Application Incidents P3 Odoo,80.45977011494253,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.4482758620689655,0.0,0.0,0.0,0.0,1.0,0.0,3.0,Applications Service Management
11,Converge TP,Application Problems Odoo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Applications Service Management
12,Converge TP,Applications Changes Odoo,77.01149425287358,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.22413793103448276,0.0,0.0,0.0,0.0,0.0,0.0,3.0,Applications Service Management
13,Converge TP,Azure Advisor Cost Score,38.69731800766285,44.44444444444444,44.44444444444444,33.33333333333334,44.44444444444444,44.44444444444444,0.0,55.55555555555556,40.100754310344826,45.6484375,0.0,39.35546875,45.6484375,46.71875,0.0,54.375,Azure Advisor Scores (weighted)
14,Converge TP,Azure Advisor Operational Excellence Score,91.37931034482759,100.0,100.0,100.0,100.0,100.0,0.0,100.0,86.6228448275862,93.3125,100.0,92.765625,93.3125,96.1875,0.0,100.0,Azure Advisor Scores (weighted)
15,Converge TP,Azure Advisor Performance Score,91.37931034482759,100.0,100.0,100.0,100.0,100.0,0.0,100.0,87.99353448275862,94.375,94.3125,94.3125,94.375,97.1875,0.0,100.0,Azure Advisor Scores (weighted)
16,Converge TP,Azure Advisor Security Score,53.639846743295024,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,66.66666666666667,0.0,66.66666666666667,54.1182650862069,58.875,0.0,58.09375,58.875,60.125,0.0,61.546875,Azure Advisor Security Score
17,Converge TP,Azure Advisor Security Score,53.639846743295024,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,66.66666666666667,0.0,66.66666666666667,54.1182650862069,58.875,0.0,58.09375,58.875,60.125,0.0,61.546875,Azure Advisor Scores (weighted)
18,Converge TP,Azure App Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.241379310344826,0.0,0.0,0.0,0.0,100.0,0.0,100.0,Apps Secure Score
19,Converge TP,Azure App Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,42.241379310344826,0.0,0.0,0.0,0.0,100.0,0.0,100.0,Azure Secure Scores (weighted)
20,Converge TP,Azure Data Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Azure Secure Scores (weighted)
21,Converge TP,Azure Data Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Data Secure Score
22,Converge TP,Azure Devices Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Azure Secure Scores (weighted)
23,Converge TP,Azure Identity Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Identity Secure Score
24,Converge TP,Azure Identity Secure Score,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5.172413793103448,0.0,0.0,0.0,0.0,0.0,0.0,100.0,Azure Secure Scores (weighted)
25,Converge TP,Azure Tenant Secure Score,46.360153256704976,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444,100.0,43.918525469126834,45.55643348121794,45.55643348121794,45.07972294352815,45.55643348121794,45.854444746560304,0.0,46.00862126365351,Azure Secure Scores (weighted)
26,Converge TP,CSAT Score Odoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4659556414120644,0.4162696006237546,0.6521739130434783,0.30751760743084616,0.4162696006237546,0.5922566671179099,0.1470588235294118,0.9848484848484849,Survey's score
27,Converge TP,Change Age (Average) Odoo,75.86206896551724,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.13275862356712076,0.0,0.0,0.0,0.0,0.3666666746139526,0.0,0.3666666746139526,Ticket Age
28,Converge TP,Closed Incidents Sentinel,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True Positive Detections
29,Converge TP,Converge Resolvers Oldest Ticket (duration),15.03831417624521,1.388888888888889,0.0,0.0,1.388888888888889,2.777777777777778,0.0,100.0,494.3405735410493,298.9500122070312,647.0966796875,242.2166595458984,298.9500122070312,647.0966796875,89.94999694824219,2523.583251953125,Managed Supporter Ticket Oldest (duration)
